               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12329,             0.17337,            0.049569,                   0,                   0,                   0,                   0,             0.10998,             0.26685,            0.048538,              0.0982,              0.0002,              0.0002
                   1,             0.11856,             0.19281,            0.049146,           0.0010204,            0.017857,           0.0010058,          0.00010058,             0.10763,             0.27893,            0.048355,            0.095495,          0.00049505,          0.00049505
                   2,             0.11686,             0.20732,            0.048763,           0.0021552,            0.017857,           0.0014005,          0.00026114,             0.10507,             0.29202,            0.048157,            0.092784,          0.00078416,          0.00078416
                   3,             0.11297,             0.19453,             0.04841,                   0,                   0,                   0,                   0,             0.10245,             0.30817,            0.047958,            0.090067,           0.0010673,           0.0010673
                   4,             0.11282,             0.23355,            0.047872,            0.011905,            0.017857,            0.011735,           0.0011735,            0.099921,             0.32037,            0.047745,            0.087345,           0.0013446,           0.0013446
                   5,             0.10886,             0.20437,            0.047278,            0.017857,            0.017857,            0.014477,           0.0014477,            0.098155,              0.3288,            0.047607,            0.084616,           0.0016158,           0.0016158
                   6,             0.10755,             0.20028,            0.047265,            0.017857,            0.017857,            0.011977,           0.0023954,            0.096183,             0.33801,             0.04744,            0.081881,           0.0018812,           0.0018812
                   7,             0.10604,             0.28131,            0.046669,            0.017857,            0.017857,            0.011977,           0.0023954,            0.094897,             0.34357,            0.047333,            0.079141,           0.0021406,           0.0021406
                   8,             0.10507,             0.24885,            0.046534,            0.019231,            0.017857,             0.01261,            0.002522,             0.09295,             0.35233,             0.04715,            0.076394,           0.0023941,           0.0023941
                   9,             0.10157,             0.25702,            0.045498,            0.016667,            0.017857,            0.011428,           0.0022857,            0.091815,             0.35687,             0.04702,            0.073642,           0.0026416,           0.0026416
                  10,             0.10083,             0.26277,            0.045461,             0.01087,            0.017857,           0.0096952,            0.001939,            0.090162,               0.367,            0.046806,            0.070883,           0.0028832,           0.0028832
                  11,             0.09868,             0.21892,            0.045054,           0.0083694,            0.022094,           0.0086367,           0.0025442,            0.089264,             0.37061,            0.046692,            0.068119,           0.0031189,           0.0031189
                  12,            0.098257,             0.25859,            0.044741,            0.011028,            0.051765,            0.012997,           0.0030104,            0.087942,              0.3739,            0.046432,            0.065349,           0.0033486,           0.0033486
                  13,             0.10123,             0.30286,            0.043758,           0.0080885,             0.05934,            0.011463,           0.0027034,            0.087278,             0.37491,            0.046265,            0.062572,           0.0035723,           0.0035723
                  14,             0.10234,             0.23061,            0.044946,           0.0054215,            0.063578,           0.0084132,            0.001973,            0.085992,             0.37607,            0.045967,             0.05979,           0.0037902,           0.0037902
                  15,            0.095344,             0.19992,            0.041806,           0.0049097,            0.063578,           0.0084943,           0.0019567,            0.085861,             0.37567,            0.045937,            0.057002,           0.0040021,           0.0040021
                  16,            0.098165,             0.18523,            0.041095,           0.0047813,            0.067815,           0.0082859,           0.0020051,            0.084686,             0.37335,            0.045662,            0.054208,            0.004208,            0.004208
                  17,            0.091381,             0.18264,            0.041024,           0.0084818,              0.1111,            0.010551,           0.0026589,            0.084061,             0.37314,            0.045502,            0.051408,            0.004408,            0.004408
                  18,            0.092394,             0.22482,            0.039032,            0.025531,             0.28393,            0.035624,           0.0084327,            0.083223,             0.36877,             0.04512,            0.048602,           0.0046021,           0.0046021
                  19,            0.090615,              0.1894,            0.037277,            0.028406,             0.31603,            0.062513,            0.016989,            0.082386,             0.36246,            0.044617,             0.04579,           0.0047902,           0.0047902
                  20,            0.095909,             0.20847,            0.038906,            0.029942,             0.32693,             0.12136,            0.041819,            0.081547,             0.35614,            0.043976,            0.042972,           0.0049724,           0.0049724
                  21,            0.096856,             0.23205,            0.036794,            0.031767,             0.35723,             0.15663,            0.055182,            0.080751,             0.34695,            0.043159,            0.040149,           0.0051487,           0.0051487
                  22,             0.08543,             0.18585,            0.033331,            0.037269,              0.4118,              0.2098,            0.074055,            0.079396,             0.33368,            0.041969,            0.037319,            0.005319,            0.005319
                  23,            0.082098,             0.20983,             0.03326,            0.040003,              0.4421,             0.20784,            0.073789,            0.078133,             0.32355,            0.040825,            0.034483,           0.0054833,           0.0054833
                  24,            0.079625,             0.21847,            0.031958,             0.73339,             0.18919,             0.21578,             0.07703,            0.076797,             0.30396,            0.039108,            0.031642,           0.0056418,           0.0056418
                  25,            0.083012,             0.18236,            0.033303,             0.72317,             0.24634,             0.22328,            0.080939,            0.074669,             0.28732,            0.037155,            0.028794,           0.0057942,           0.0057942
                  26,              0.0769,             0.22029,            0.030131,             0.72411,               0.272,             0.23309,            0.086393,            0.072115,             0.26193,            0.034904,            0.025941,           0.0059408,           0.0059408
                  27,            0.082173,             0.16812,            0.029865,             0.74241,             0.30971,             0.25259,             0.10173,             0.07235,             0.25217,            0.033157,            0.023081,           0.0060814,           0.0060814
                  28,            0.079798,             0.21138,            0.027241,             0.74241,             0.30971,             0.25259,             0.10173,             0.07235,             0.25217,            0.033157,            0.020216,           0.0062161,           0.0062161
                  29,            0.083271,             0.21253,            0.030452,             0.72632,             0.31394,             0.26949,             0.10061,            0.069731,             0.23419,            0.030975,            0.017345,           0.0063448,           0.0063448
                  30,            0.076033,             0.19279,            0.029573,             0.64415,             0.32152,             0.20963,            0.082358,             0.06555,             0.22403,            0.028633,            0.014468,           0.0064676,           0.0064676
                  31,            0.082302,             0.23001,            0.027997,             0.71672,             0.26644,             0.20728,            0.071819,            0.072777,             0.21625,            0.027092,            0.011584,           0.0065844,           0.0065844
                  32,            0.077608,             0.18728,            0.028882,             0.71672,             0.26644,             0.20728,            0.071819,            0.072777,             0.21625,            0.027092,           0.0086954,           0.0066954,           0.0066954
                  33,            0.074976,             0.21736,             0.02727,             0.64415,             0.42424,             0.30259,            0.096325,            0.069313,             0.21378,            0.026447,            0.006733,            0.006733,            0.006733
                  34,            0.080548,             0.23574,             0.02597,             0.65301,             0.40626,             0.21623,             0.07214,            0.067694,             0.22778,            0.026051,            0.006733,            0.006733,            0.006733
                  35,            0.077661,             0.15597,            0.024043,             0.87274,              0.2161,             0.21979,            0.073693,            0.077292,             0.21542,            0.025036,            0.006634,            0.006634,            0.006634
                  36,            0.087478,             0.21364,            0.024688,             0.87274,              0.2161,             0.21979,            0.073693,            0.077292,             0.21542,            0.025036,            0.006535,            0.006535,            0.006535
                  37,            0.070262,             0.19696,            0.023571,             0.66532,             0.44192,             0.29271,             0.09636,            0.070015,             0.20959,            0.024372,            0.006436,            0.006436,            0.006436
                  38,            0.070493,             0.19913,            0.024054,              0.6222,             0.44697,             0.28022,            0.090512,            0.072146,             0.21063,            0.024551,            0.006337,            0.006337,            0.006337
